feature,label,contribution
T-shirt/top,A,0.10855690389871597
T-shirt/top,B,0.014455137774348259
T-shirt/top,C,-0.0453794039785862
T-shirt/top,D,-0.0024928890634328127
T-shirt/top,E,0.018024690449237823
T-shirt/top,F,-0.05428643524646759
T-shirt/top,G,0.9999996423721313
T-shirt/top,H,-0.026996053755283356
T-shirt/top,I,0.2143578827381134
T-shirt/top,J,-0.1895986646413803
Trouser,A,0.18392881751060486
Trouser,B,0.01764555089175701
Trouser,C,-0.019533274695277214
Trouser,D,-0.009491775184869766
Trouser,E,0.030474208295345306
Trouser,F,-0.11620158702135086
Trouser,G,0.9682680368423462
Trouser,H,-0.038952674716711044
Trouser,I,0.23806388676166534
Trouser,J,-0.1841336190700531
Pullover,A,0.2123108208179474
Pullover,B,0.012402999214828014
Pullover,C,0.15618367493152618
Pullover,D,-0.012645866721868515
Pullover,E,0.015290945768356323
Pullover,F,-0.026013625785708427
Pullover,G,0.8377910852432251
Pullover,H,-0.011954203248023987
Pullover,I,0.2659215033054352
Pullover,J,-0.22202104330062866
Dress,A,-0.11535400152206421
Dress,B,0.030358675867319107
Dress,C,0.12188896536827087
Dress,D,-0.011201533488929272
Dress,E,0.21154874563217163
Dress,F,-0.07041627168655396
Dress,G,0.8118693232536316
Dress,H,-0.02524341456592083
Dress,I,0.22773785889148712
Dress,J,-0.2358739823102951
Coat,A,-0.05025207996368408
Coat,B,-0.0610521174967289
Coat,C,0.029528368264436722
Coat,D,0.1700247973203659
Coat,E,0.1019497811794281
Coat,F,-0.09951004385948181
Coat,G,0.4179375469684601
Coat,H,-0.060472872108221054
Coat,I,0.09854714572429657
Coat,J,-0.13685745000839233
Sandal,A,0.15076331794261932
Sandal,B,-0.01509876362979412
Sandal,C,0.1881399154663086
Sandal,D,0.10000628978013992
Sandal,E,-0.1461106389760971
Sandal,F,-0.06415940821170807
Sandal,G,-0.0579986535012722
Sandal,H,-0.020174192264676094
Sandal,I,0.039115823805332184
Sandal,J,-0.07884866744279861
Shirt,A,0.2333412766456604
Shirt,B,0.03835105150938034
Shirt,C,0.35519638657569885
Shirt,D,0.06403463333845139
Shirt,E,-0.05445285141468048
Shirt,F,-0.1969279795885086
Shirt,G,-0.027052871882915497
Shirt,H,-0.02217167615890503
Shirt,I,-0.008611232973635197
Shirt,J,-0.04769495874643326
Sneaker,A,0.2275247573852539
Sneaker,B,0.020922457799315453
Sneaker,C,0.14227789640426636
Sneaker,D,0.0020619365386664867
Sneaker,E,-0.25459277629852295
Sneaker,F,-0.1370607167482376
Sneaker,G,0.10600028932094574
Sneaker,H,-0.011857477016746998
Sneaker,I,0.05018116906285286
Sneaker,J,-0.12929514050483704
Bag,A,0.25727155804634094
Bag,B,0.021558107808232307
Bag,C,-0.014238785021007061
Bag,D,0.08756247162818909
Bag,E,-0.21971353888511658
Bag,F,-0.046954113990068436
Bag,G,0.09984340518712997
Bag,H,-0.009635006077587605
Bag,I,0.08030521124601364
Bag,J,-0.1464516520500183
Ankle Boot,A,0.015188783407211304
Ankle Boot,B,-0.19291700422763824
Ankle Boot,C,-0.31530505418777466
Ankle Boot,D,0.23897838592529297
Ankle Boot,E,-0.2017221450805664
Ankle Boot,F,-0.23197084665298462
Ankle Boot,G,-0.0035742612089961767
Ankle Boot,H,-0.0883687362074852
Ankle Boot,I,0.06704217195510864
Ankle Boot,J,-0.1399846076965332
