feature,label,contribution
0,A,-0.0
0,B,0.0
0,C,-0.0
0,D,-0.0
0,E,0.0
0,F,0.0
0,G,0.0
0,H,-0.0
0,I,0.0
0,J,0.0
1,A,-0.0
1,B,0.0
1,C,-0.0
1,D,-0.0
1,E,0.0
1,F,0.0
1,G,0.0
1,H,-0.0
1,I,0.0
1,J,0.0
2,A,-0.0
2,B,0.0
2,C,-0.0
2,D,-0.0
2,E,0.0
2,F,0.0
2,G,0.0
2,H,-0.0
2,I,0.0
2,J,0.0
3,A,-0.0
3,B,0.0
3,C,-0.0
3,D,-0.0
3,E,0.0
3,F,0.0
3,G,0.0
3,H,-0.0
3,I,0.0
3,J,0.0
4,A,-0.0
4,B,0.0
4,C,-0.0
4,D,-0.0
4,E,0.0
4,F,0.0
4,G,0.0
4,H,-0.0
4,I,0.0
4,J,0.0
5,A,-0.0
5,B,0.0
5,C,-0.0
5,D,-0.0
5,E,0.0
5,F,0.0
5,G,0.0
5,H,-0.0
5,I,0.0
5,J,0.0
6,A,-0.0
6,B,0.0
6,C,-0.0
6,D,-0.0
6,E,0.0
6,F,0.0
6,G,0.0
6,H,-0.0
6,I,0.0
6,J,0.0
7,A,-0.0
7,B,0.0
7,C,-0.0
7,D,-0.0
7,E,0.0
7,F,0.0
7,G,0.0
7,H,-0.0
7,I,0.0
7,J,0.0
8,A,-0.0
8,B,0.0
8,C,-0.0
8,D,-0.0
8,E,0.0
8,F,0.0
8,G,0.0
8,H,-0.0
8,I,0.0
8,J,0.0
9,A,-0.0
9,B,0.0
9,C,-0.0
9,D,-0.0
9,E,0.0
9,F,0.0
9,G,0.0
9,H,-0.0
9,I,0.0
9,J,0.0
