feature,label,contribution
fat,C,-0.09727785736322403
fat,B,0.18535557389259338
fat,D,-0.7431074380874634
fat,Z,-1.0
fat,E,-1.0
fat,A,-0.5369663834571838
fat,F,0.4368048310279846
protein,C,-0.9345502853393555
protein,B,-0.25766485929489136
protein,D,-0.029548266902565956
protein,Z,0.03304345905780792
protein,E,-0.034916386008262634
protein,A,-0.8169507384300232
protein,F,-1.0
carbohydrate,C,-1.0
carbohydrate,B,-0.4400433897972107
carbohydrate,D,-0.17308564484119415
carbohydrate,Z,-0.014743924140930176
carbohydrate,E,-0.11009110510349274
carbohydrate,A,0.7906437516212463
carbohydrate,F,0.12772081792354584
water,C,0.2936510741710663
water,B,0.6263648271560669
water,D,0.44726040959358215
water,Z,0.036341343075037
water,E,0.15419931709766388
water,A,-1.0
water,F,-0.697471022605896
potassium,C,0.07668193429708481
potassium,B,-0.006081648636609316
potassium,D,0.036608077585697174
potassium,Z,0.0004498890193644911
potassium,E,0.006788359023630619
potassium,A,-0.13643287122249603
potassium,F,0.04168118163943291
saturated,C,-0.50664883852005
saturated,B,-0.3027520179748535
saturated,D,0.04693443328142166
saturated,Z,0.3967987596988678
saturated,E,0.3173188269138336
saturated,A,-0.41107192635536194
saturated,F,0.3091146647930145
monounsat,C,-0.6355665922164917
monounsat,B,0.1594274640083313
monounsat,D,0.042133741080760956
monounsat,Z,0.43714290857315063
monounsat,E,0.3575814962387085
monounsat,A,-0.4823760688304901
monounsat,F,0.3888709843158722
polyunsat,C,-0.40921494364738464
polyunsat,B,0.20258963108062744
polyunsat,D,0.023031655699014664
polyunsat,Z,0.3162354528903961
polyunsat,E,0.24681396782398224
polyunsat,A,-0.26568490266799927
polyunsat,F,0.5092125535011292
sodium,C,-0.17574070394039154
sodium,B,-0.10212782770395279
sodium,D,0.02007615752518177
sodium,Z,0.006175594870001078
sodium,E,0.000645071966573596
sodium,A,-0.1163092628121376
sodium,F,0.4353531301021576
calcium,C,-0.054475512355566025
calcium,B,-0.05800051614642143
calcium,D,0.012618601322174072
calcium,Z,0.008495394140481949
calcium,E,0.0030275750905275345
calcium,A,0.067237488925457
calcium,F,0.46688979864120483
vitaminc,C,0.055943913757801056
vitaminc,B,0.040615182369947433
vitaminc,D,0.008203796111047268
vitaminc,Z,-0.001312979613430798
vitaminc,E,0.004610799252986908
vitaminc,A,0.020665118470788002
vitaminc,F,0.1470344364643097
calories,C,0.5105166435241699
calories,B,1.0
calories,D,1.0
calories,Z,0.10031042993068695
calories,E,0.37721237540245056
calories,A,0.6659013032913208
calories,F,0.6287896633148193
