feature,label,contribution
carbohydrate,C,-1.0
carbohydrate,B,-0.4400433897972107
carbohydrate,D,-0.17308564484119415
carbohydrate,G,-0.17210038006305695
carbohydrate,Z,-0.014743924140930176
carbohydrate,E,-0.11009110510349274
carbohydrate,A,0.7906437516212463
carbohydrate,F,0.12772081792354584
saturated,C,-0.5567973256111145
saturated,B,-0.3027520179748535
saturated,D,0.04693443328142166
saturated,G,0.061323992908000946
saturated,Z,0.3967987596988678
saturated,E,0.3173188269138336
saturated,A,-0.41107192635536194
saturated,F,0.3091146647930145
monounsat,C,-0.670783281326294
monounsat,B,0.1594274640083313
monounsat,D,0.042133741080760956
monounsat,G,0.05747450143098831
monounsat,Z,0.43714290857315063
monounsat,E,0.3575814962387085
monounsat,A,-0.4823760688304901
monounsat,F,0.3888709843158722
polyunsat,C,-0.486492395401001
polyunsat,B,0.20258963108062744
polyunsat,D,0.023031655699014664
polyunsat,G,0.03286217525601387
polyunsat,Z,0.3162354528903961
polyunsat,E,0.24681396782398224
polyunsat,A,-0.26568490266799927
polyunsat,F,0.5092125535011292
protein,C,-0.7039318680763245
protein,B,-0.25766485929489136
protein,D,-0.029548266902565956
protein,G,-0.0425976887345314
protein,Z,0.03304345905780792
protein,E,-0.034916386008262634
protein,A,-0.8169507384300232
protein,F,-1.0
water,C,0.2663382291793823
water,B,0.6263648271560669
water,D,0.44726040959358215
water,G,0.47098463773727417
water,Z,0.036341343075037
water,E,0.15419931709766388
water,A,-1.0
water,F,-0.697471022605896
potassium,C,0.12598775327205658
potassium,B,-0.006081648636609316
potassium,D,0.036608077585697174
potassium,G,0.03551699221134186
potassium,Z,0.0004498890193644911
potassium,E,0.006788359023630619
potassium,A,-0.13643287122249603
potassium,F,0.04168118163943291
calories,C,0.916101336479187
calories,B,1.0
calories,D,1.0
calories,G,1.0
calories,Z,0.10031042993068695
calories,E,0.37721237540245056
calories,A,0.6659013032913208
calories,F,0.6287896633148193
vitaminc,C,0.06518391519784927
vitaminc,B,0.040615182369947433
vitaminc,D,0.008203796111047268
vitaminc,G,0.007931863889098167
vitaminc,Z,-0.001312979613430798
vitaminc,E,0.004610799252986908
vitaminc,A,0.020665118470788002
vitaminc,F,0.1470344364643097
calcium,C,-0.07241742312908173
calcium,B,-0.05800051614642143
calcium,D,0.012618601322174072
calcium,G,0.013879735954105854
calcium,Z,0.008495394140481949
calcium,E,0.0030275750905275345
calcium,A,0.067237488925457
calcium,F,0.46688979864120483
sodium,C,-0.11889684945344925
sodium,B,-0.10212782770395279
sodium,D,0.02007615752518177
sodium,G,0.018614688888192177
sodium,Z,0.006175594870001078
sodium,E,0.000645071966573596
sodium,A,-0.1163092628121376
sodium,F,0.4353531301021576
fat,C,-0.057186540216207504
fat,B,0.18535557389259338
fat,D,-0.7431074380874634
fat,G,-0.7569530606269836
fat,Z,-1.0
fat,E,-1.0
fat,A,-0.5369663834571838
fat,F,0.4368048310279846
