feature,label,contribution
TPW,E,0.005501016974449158
TPW,D,-0.002751206047832966
TPW,Z,0.0008563429582864046
TPW,B,1.0
TPW,A,-0.4372149109840393
TPW,C,-0.5846279859542847
BPW,E,-0.016245441511273384
BPW,D,0.001059553469531238
BPW,Z,0.009647854603827
BPW,B,0.6531761884689331
BPW,A,-0.6091371774673462
BPW,C,-0.008602255955338478
NPA,E,-0.007236371282488108
NPA,D,0.006197067443281412
NPA,Z,0.01778574474155903
NPA,B,0.2744612693786621
NPA,A,-0.5101536512374878
NPA,C,0.03990278020501137
UFE,E,0.00019192742183804512
UFE,D,-0.007182534318417311
UFE,Z,-0.016698278486728668
UFE,B,0.6905322074890137
UFE,A,-0.7894185185432434
UFE,C,0.41925475001335144
FSW,E,-0.005841591861099005
FSW,D,-0.002153974724933505
FSW,Z,0.01038777083158493
FSW,B,-0.8203237652778625
FSW,A,-0.8667393326759338
FSW,C,-1.0
DBF,E,-0.005251046735793352
DBF,D,0.004367392975836992
DBF,Z,0.006705647334456444
DBF,B,-0.4742387533187866
DBF,A,-0.2432713508605957
DBF,C,-0.22083112597465515
NPW,E,0.006604223977774382
NPW,D,-0.014157061465084553
NPW,Z,-0.005811687558889389
NPW,B,-0.7406494617462158
NPW,A,-0.26362285017967224
NPW,C,0.1642790287733078
BPC,E,0.014655412174761295
BPC,D,-0.006104628089815378
BPC,Z,-0.023575082421302795
BPC,B,-0.685926079750061
BPC,A,-0.46977028250694275
BPC,C,0.21742530167102814
ACE,E,-0.004098520148545504
ACE,D,-0.0045757354237139225
ACE,Z,-0.029903613030910492
ACE,B,-0.6965147852897644
ACE,A,-1.0
ACE,C,-0.03399880602955818
FNL,E,0.008585886098444462
FNL,D,-0.0009729820303618908
FNL,Z,-0.02247917279601097
FNL,B,-0.4394982159137726
FNL,A,-0.8089854121208191
FNL,C,0.0667061060667038
WNR,E,-0.004205475095659494
WNR,D,0.0190848670899868
WNR,Z,0.047114938497543335
WNR,B,-0.36830660700798035
WNR,A,-0.649117648601532
WNR,C,0.7507228851318359
FSP,E,-0.9995900392532349
FSP,D,-0.998102605342865
FSP,Z,-1.0
FSP,B,0.46261224150657654
FSP,A,-0.6097806096076965
FSP,C,-0.007601610384881496
SSP,E,-1.0
SSP,D,-1.0
SSP,Z,-0.9905096888542175
SSP,B,-0.44714853167533875
SSP,A,0.6115718483924866
SSP,C,0.016508985310792923
