feature,label,contribution
SSP,C,0.016508985310792923
SSP,A,-0.11984509229660034
SSP,G,-0.8062731623649597
SSP,B,-0.44714853167533875
SSP,Z,-0.9905096888542175
SSP,F,-1.0
SSP,D,-1.0
SSP,E,-1.0
FSP,C,-0.007601610384881496
FSP,A,0.1328251212835312
FSP,G,0.8297010660171509
FSP,B,0.46261224150657654
FSP,Z,-1.0
FSP,F,-0.9983608722686768
FSP,D,-0.9981057047843933
FSP,E,-0.9995900392532349
BPW,C,-0.008602255955338478
BPW,A,-0.5436670184135437
BPW,G,-0.021143559366464615
BPW,B,0.6531761884689331
BPW,Z,0.009647854603827
BPW,F,0.0003376000968273729
BPW,D,0.003758119186386466
BPW,E,-0.016245441511273384
NPA,C,0.03990278020501137
NPA,A,-0.9521042704582214
NPA,G,0.11581151932477951
NPA,B,0.2744612693786621
NPA,Z,0.01778574474155903
NPA,F,0.005065516568720341
NPA,D,-0.0007421078043989837
NPA,E,-0.007236371282488108
WNR,C,0.7507228851318359
WNR,A,-0.3725966811180115
WNR,G,0.13905450701713562
WNR,B,-0.36830660700798035
WNR,Z,0.047114938497543335
WNR,F,0.013835178688168526
WNR,D,0.008366921916604042
WNR,E,-0.004205475095659494
TPW,C,-0.5846279859542847
TPW,A,0.079810731112957
TPW,G,0.45833805203437805
TPW,B,1.0
TPW,Z,0.0008563429582864046
TPW,F,-0.0008358621853403747
TPW,D,-0.0062242066487669945
TPW,E,0.005501016974449158
UFE,C,0.41925475001335144
UFE,A,0.4644010663032532
UFE,G,1.0
UFE,B,0.6905322074890137
UFE,Z,-0.016698278486728668
UFE,F,-0.005533166695386171
UFE,D,-0.0049878694117069244
UFE,E,0.00019192742183804512
NPW,C,0.1642790287733078
NPW,A,1.0
NPW,G,0.3034515678882599
NPW,B,-0.7406494617462158
NPW,Z,-0.005811687558889389
NPW,F,-0.010154030285775661
NPW,D,-0.004845188930630684
NPW,E,0.006604223977774382
BPC,C,0.21742530167102814
BPC,A,-0.10842257738113403
BPC,G,0.4053070545196533
BPC,B,-0.685926079750061
BPC,Z,-0.023575082421302795
BPC,F,-0.004704414401203394
BPC,D,-0.003383735427632928
BPC,E,0.014655412174761295
FNL,C,0.0667061060667038
FNL,A,-0.04289451614022255
FNL,G,0.27221885323524475
FNL,B,-0.4394982159137726
FNL,Z,-0.02247917279601097
FNL,F,-0.0016937992768362164
FNL,D,0.001999379601329565
FNL,E,0.008585886098444462
ACE,C,-0.03399880602955818
ACE,A,-0.013305801898241043
ACE,G,0.563897430896759
ACE,B,-0.6965147852897644
ACE,Z,-0.029903613030910492
ACE,F,-0.0026970168109983206
ACE,D,-0.0019770385697484016
ACE,E,-0.004098520148545504
DBF,C,-0.22083112597465515
DBF,A,0.023977894335985184
DBF,G,0.7282309532165527
DBF,B,-0.4742387533187866
DBF,Z,0.006705647334456444
DBF,F,0.004289017990231514
DBF,D,0.002503025345504284
DBF,E,-0.005251046735793352
FSW,C,-1.0
FSW,A,-0.25763997435569763
FSW,G,0.010424391366541386
FSW,B,-0.8203237652778625
FSW,Z,0.01038777083158493
FSW,F,-0.0030105803161859512
FSW,D,-0.0012588625540956855
FSW,E,-0.005841591861099005
