feature,label,contribution
Flavanoids,C,-0.678950846195221
Flavanoids,B,-0.23693524301052094
Flavanoids,A,0.7084569931030273
Flavanoids,Z,0.7059046626091003
Ttl phenols,C,-0.42280054092407227
Ttl phenols,B,-0.18303892016410828
Ttl phenols,A,0.5502423048019409
Ttl phenols,Z,0.40190622210502625
OD280/OD315,C,-0.6745489835739136
OD280/OD315,B,-0.5225597023963928
OD280/OD315,A,0.5942732691764832
OD280/OD315,Z,0.019298335537314415
Hue,C,-0.6873875260353088
Hue,B,-0.4851206839084625
Hue,A,0.3790905177593231
Hue,Z,-0.18861530721187592
Proanth.,C,-0.32497116923332214
Proanth.,B,-0.3528323471546173
Proanth.,A,0.24088826775550842
Proanth.,Z,-0.935270369052887
Magnesium,C,0.04303837940096855
Magnesium,B,1.0
Magnesium,A,0.27961018681526184
Magnesium,Z,-1.0
Proline,C,-0.23291628062725067
Proline,B,0.9868365526199341
Proline,A,0.9400615692138672
Proline,Z,-0.03474847599864006
Alc,C,0.2559868097305298
Alc,B,0.8614158034324646
Alc,A,1.0
Alc,Z,0.19257165491580963
Ash,C,0.16985845565795898
Ash,B,0.5575918555259705
Ash,A,0.482407808303833
Ash,Z,0.5380124449729919
Col. intens.,C,1.0
Col. intens.,B,0.5979698300361633
Col. intens.,A,0.2682684063911438
Col. intens.,Z,0.32922348380088806
Malic acid,C,0.5403911471366882
Malic acid,B,0.36609938740730286
Malic acid,A,-0.15897583961486816
Malic acid,Z,0.17382578551769257
Nonflav. phenols,C,0.2597150504589081
Nonflav. phenols,B,0.07262623310089111
Nonflav. phenols,A,-0.32247307896614075
Nonflav. phenols,Z,-0.11769112944602966
Alcal. of ash,C,0.33170756697654724
Alcal. of ash,B,-0.4156825840473175
Alcal. of ash,A,-0.5617887377738953
Alcal. of ash,Z,0.056327834725379944
