feature,label,contribution
Alcal. of ash,C,-0.33170756697654724
Alcal. of ash,B,0.30628517270088196
Alcal. of ash,A,0.9508460164070129
Alcal. of ash,Z,-0.056327834725379944
Alcal. of ash,E,0.08244302868843079
Alcal. of ash,D,-0.137034609913826
Alcal. of ash,F,-0.12582434713840485
Nonflav. phenols,C,-0.2597150504589081
Nonflav. phenols,B,-0.13206253945827484
Nonflav. phenols,A,0.17902511358261108
Nonflav. phenols,Z,0.11769112944602966
Nonflav. phenols,E,-0.13074180483818054
Nonflav. phenols,D,-0.14231516420841217
Nonflav. phenols,F,-0.13987183570861816
Malic acid,C,-0.5403911471366882
Malic acid,B,-0.35964274406433105
Malic acid,A,0.1392272412776947
Malic acid,Z,-0.17382578551769257
Malic acid,E,-0.02741575427353382
Malic acid,D,-0.004898416809737682
Malic acid,F,-0.04208221659064293
Flavanoids,C,0.678950846195221
Flavanoids,B,0.15083786845207214
Flavanoids,A,-0.8619021773338318
Flavanoids,Z,-0.7059046626091003
Flavanoids,E,-1.0
Flavanoids,D,-1.0
Flavanoids,F,-1.0
Col. intens.,C,-1.0
Col. intens.,B,-0.4439086318016052
Col. intens.,A,-0.7923844456672668
Col. intens.,Z,-0.32922348380088806
Col. intens.,E,-0.011060335673391819
Col. intens.,D,0.08190006762742996
Col. intens.,F,0.005721725057810545
Alc,C,-0.2559868097305298
Alc,B,-0.7996390461921692
Alc,A,-1.0
Alc,Z,-0.19257165491580963
Alc,E,0.007100994233042002
Alc,D,-0.0490453839302063
Alc,F,0.023043956607580185
Ash,C,-0.16985845565795898
Ash,B,-0.5914443731307983
Ash,A,-0.7410838007926941
Ash,Z,-0.5380124449729919
Ash,E,0.04613417759537697
Ash,D,0.17488716542720795
Ash,F,0.19319862127304077
Proline,C,0.23291628062725067
Proline,B,-1.0
Proline,A,-0.5921992063522339
Proline,Z,0.03474847599864006
Proline,E,0.053367551416158676
Proline,D,-0.02061014622449875
Proline,F,0.009298020973801613
Magnesium,C,-0.04303837940096855
Magnesium,B,-0.9488946795463562
Magnesium,A,-0.6564989686012268
Magnesium,Z,1.0
Magnesium,E,0.01288028247654438
Magnesium,D,-0.05414314940571785
Magnesium,F,-0.10224229842424393
Proanth.,C,0.32497116923332214
Proanth.,B,0.35806190967559814
Proanth.,A,0.022817792370915413
Proanth.,Z,0.935270369052887
Proanth.,E,0.09168194234371185
Proanth.,D,0.1206851676106453
Proanth.,F,0.17587845027446747
Hue,C,0.6873875260353088
Hue,B,0.62943434715271
Hue,A,-0.28952592611312866
Hue,Z,0.18861530721187592
Hue,E,0.13973425328731537
Hue,D,0.1562824547290802
Hue,F,0.09287197887897491
OD280/OD315,C,0.6745489835739136
OD280/OD315,B,0.45179620385169983
OD280/OD315,A,-0.6934624910354614
OD280/OD315,Z,-0.019298335537314415
OD280/OD315,E,0.18861541152000427
OD280/OD315,D,0.21775010228157043
OD280/OD315,F,0.2582835555076599
Ttl phenols,C,0.42280054092407227
Ttl phenols,B,0.1455010324716568
Ttl phenols,A,-0.6504552364349365
Ttl phenols,Z,-0.40190622210502625
Ttl phenols,E,0.6217078566551208
Ttl phenols,D,0.5319465398788452
Ttl phenols,F,0.4607532322406769
